X,Y,NUDBO,MEDDBO,MINDBO,MAXDBO,DEVDBO,LATITUDE,LONGITUDE,OBJECTID,ID,CDESTACAO,ANO,SGUF,ENTIDADE,CORPODAGUA,AMBIENTE
-49.940358,-29.2019039991959,8,4,4,4,0,-29.201904,-49.940358,1,174,SCRS-7759-IE-16,2021,SC,SDE-SC,Rio Mampituba,1
-49.510093,-28.9280709992006,8,4,4,4,0,-28.928071,-49.510093,2,185,SC-7758-I-1,2021,SC,SDE-SC,Rio Araranguá,1
-49.622436,-28.8343269992023,8,4,4,4,0,-28.834327,-49.622436,3,188,RSSC-788-IE-5,2021,SC,SDE-SC,Rio Manuel Alves,1
-49.474703,-28.7488999992038,8,4,4,4,0,-28.7489,-49.474703,4,195,SC-7758-I-4,2021,SC,SDE-SC,Rio Mãe Luiza,1
-49.173027,-28.6957889992047,8,4,4,4,0,-28.695789,-49.173027,5,198,SC-7757-I-3,2021,SC,SDE-SC,Rio Urussanga,1
-48.97464,-28.4635069992089,8,4,4,4,0,-28.463507,-48.97464,6,203,SC-7756-I-2,2021,SC,SDE-SC,Rio Tubarão,1
-49.01732,-28.3406899992111,8,4.45,4,7.6,1.272792,-28.34069,-49.01732,7,206,SC-7756-I-5,2021,SC,SDE-SC,Rio Batateira,1
-49.1792,-28.3257999992114,8,4,4,4,0,-28.3258,-49.1792,8,207,SC-7756-I-4,2021,SC,SDE-SC,Rio Braço do Norte,1
-48.882586,-28.2759509992123,8,4.1125,4,4.9,0.318198,-28.275951,-48.882586,9,209,SC-7756-R-15,2021,SC,SDE-SC,Rio Aragatingauba,1
-49.195002,-28.2094159992134,8,4.17625,4,4.75,0.327237,-28.209416,-49.195002,10,211,SC-7756-I-13,2021,SC,SDE-SC,Rio Pequeno,1
-48.767552,-28.0611709992162,8,4,4,4,0,-28.061171,-48.767552,11,215,,2021,SC,,,2
-48.686999,-27.905088999219,8,4,4,4,0,-27.905089,-48.686999,12,224,SC-7755-I-17,2021,SC,SDE-SC,Rio da Madre,1
-48.946618,-27.8667909992197,8,4.12,4,4.96,0.339411,-27.866791,-48.946618,13,229,SC-7756-R-28,2021,SC,SDE-SC,Rio Capivari,1
-48.893652,-27.7216059992224,8,4.4975,4,7.98,1.407143,-27.721606,-48.893652,14,237,SC-7755-I-9,2021,SC,SDE-SC,Rio Cubatão,1
-48.674375,-27.7002279992228,8,4.75875,4,9.06,1.750522,-27.700228,-48.674375,15,240,SC-7755-I-12,2021,SC,SDE-SC,Rio Cubatão do Sul,1
-49.34512,-27.690828999223,8,4.79875,4,10.39,2.259206,-27.690829,-49.34512,16,241,SC-7754-I-17,2021,SC,SDE-SC,Rio Itajaí do Sul,1
-48.754725,-27.4378769992278,8,4,4,4,0,-27.437877,-48.754725,17,254,SC-7755-I-11,2021,SC,SDE-SC,Rio dos Três Riachos,1
-48.9528,-27.4141999992282,8,4,4,4,0,-27.4142,-48.9528,18,255,SC-7755-I-6,2021,SC,SDE-SC,Rio Tijucas,1
-49.60382,-27.3959099992286,8,7.845,4,31.08,9.460962,-27.39591,-49.60382,19,257,SC-7754-I-7,2021,SC,SDE-SC,Rio Itajaí do Sul,1
-48.85,-27.2749999992308,8,4,4,4,0,-27.275,-48.85,20,261,SC-7755-I-2,2021,SC,SDE-SC,Rio Tijucas,1
-49.995916,-27.113644999234,8,4.4175,4,7.34,1.180868,-27.113645,-49.995916,21,263,SC-7754-I-10,2021,SC,SDE-SC,Rio Itajaí do Oeste,1
-49.497477,-27.0781459992347,8,4,4,4,0,-27.078146,-49.497477,22,266,SC-7754-I-14,2021,SC,SDE-SC,Rio Itajaí do Norte/Hercílio,1
-50.112967,-27.0515989992352,8,4,4,4,0,-27.051599,-50.112967,23,267,SC-7754-I-3,2021,SC,SDE-SC,Rio Itajaí do Oeste,1
-49.586904,-27.0482909992352,8,4,4,4,0,-27.048291,-49.586904,24,268,SC-7754-I-6,2021,SC,SDE-SC,Rio Itajaí do Norte/Hercílio,1
-49.387503,-27.0372109992355,8,4,4,4,0,-27.037211,-49.387503,25,269,SC-7754-I-2,2021,SC,SDE-SC,Ribeirão Neisse,1
-48.860991,-27.0331709992355,8,6.34875,4,19.37,5.395769,-27.033171,-48.860991,26,270,SC-7754-I-20,2021,SC,SDE-SC,Rio Itajaí Mirim,1
-49.092976,-27.0282929992356,8,4,4,4,0,-27.028293,-49.092976,27,272,SC-7754-R-21,2021,SC,SDE-SC,Rio Garcia,1
-48.657105,-27.0204479992358,8,4.4175,4,6.91,1.011827,-27.020448,-48.657105,28,273,SC-7755-I-18,2021,SC,SDE-SC,Rio Camboriu,1
-49.289889,-26.9419149992373,8,4,4,4,0,-26.941915,-49.289889,29,274,SC-7754-I-13,2021,SC,SDE-SC,Rio Itajaí-Açu,1
-49.0653,-26.9180739992377,8,4,4,4,0,-26.918074,-49.0653,30,276,SC-7754-I-4,2021,SC,SDE-SC,Rio Itajaí-Açu,1
-48.8244,-26.8950789992382,8,4.735,4,9.88,2.078894,-26.895079,-48.8244,31,277,SC-7754-I-12,2021,SC,SDE-SC,Rio Itajaí-Açu,1
-49.138841,-26.8924369992382,8,4.31375,4,6.51,0.887419,-26.892437,-49.138841,32,278,SC-7753-I-3,2021,SC,SDE-SC,Rio Itajaí-Açu,1
-49.2719,-26.8296999992395,8,5.77125,4,18.17,5.009852,-26.8297,-49.2719,33,280,SC-7754-I-9,2021,SC,SDE-SC,Rio Benedito,1
-49.830895,-26.699986999242,8,4,4,4,0,-26.699987,-49.830895,34,281,SC-7754-R-22,2021,SC,SDE-SC,Rio Hercílio,1
-50.75,-26.5830559992443,4,1.75,1.5,2,0.288675,-26.583056,-50.75,35,282,65260000,2021,PR,Águas Paraná,TIMBÓ,1
-48.977167,-26.5726939992445,8,4.145,4,4.76,0.285207,-26.572694,-48.977167,36,283,SC-7751-I-22,2021,SC,SDE-SC,Rio Putanga,1
-48.883843,-26.5249469992454,8,4,4,4,0,-26.524947,-48.883843,37,286,SC-7752-I-2,2021,SC,SDE-SC,Rio Itapocu,1
-49.0808,-26.4798999992463,8,4.13125,4,5.05,0.371231,-26.4799,-49.0808,38,288,SC-7752-I-1,2021,SC,SDE-SC,Rio Itapocu,1
-48.8311,-26.448099999247,8,4.1925,4,4.84,0.358399,-26.4481,-48.8311,39,289,SC-7752-I-4,2021,SC,SDE-SC,Rio Piraí,1
-51.271667,-26.3869439992482,4,1.95,1.5,2.3,0.331662,-26.386944,-51.271667,40,290,65370000,2021,PR,Águas Paraná,Rio Jangada,1
-50.878056,-26.3838889992482,4,1.8,1.5,2,0.244949,-26.383889,-50.878056,41,291,65295000,2021,PR,Águas Paraná,TIMBÓ,1
-52.589444,-26.2841669992503,4,1.8,1.5,2,0.244949,-26.284167,-52.589444,42,296,65925800,2021,PR,Águas Paraná,Rio Pato Branco,1
-52.3,-26.2799999992503,4,1.9,1.5,2.1,0.270801,-26.28,-52.3,43,297,65925000,2021,PR,ANA,Rio Chopim,1
-48.9783,-26.2488999992509,8,5.8125,4,8.7,2.000312,-26.2489,-48.9783,44,298,SC-7751-I-1,2021,SC,SDE-SC,Rio Piraí,1
-51.08,-26.2269439992514,4,2.275,1.5,3.6,0.914239,-26.226944,-51.08,45,299,65310000,2021,PR,Águas Paraná,Rio Iguaçu,1
-49.583687,-26.2266139992514,4,1.8,1.5,2,0.244949,-26.226614,-49.583687,46,300,65095000,2021,PR,Águas Paraná,Rio Negro,1
-49.518333,-26.2249999992514,4,3.25,2,6,1.855622,-26.225,-49.518333,47,301,65093000,2021,PR,Águas Paraná,RIO NEGRINHO,1
-51.219722,-26.1772219992523,4,1.95,1.7,2.1,0.173205,-26.177222,-51.219722,48,303,65365000,2021,PR,Águas Paraná,Rio Espingarda,1
-51.227778,-26.1652779992526,4,2.35,1.5,3,0.768115,-26.165278,-51.227778,49,304,65365800,2021,PR,Águas Paraná,Rio Iguaçu,1
-49.380556,-26.1547219992528,4,1.75,1.5,2,0.288675,-26.154722,-49.380556,50,305,65090000,2021,PR,Águas Paraná,Rio Negro,1
-53.019722,-26.1524999992528,4,3.3,1.5,7.7,2.942788,-26.1525,-53.019722,51,306,65948000,2021,PR,Águas Paraná,Rio Marmeleiro,1
-48.995956,-26.1428689992531,8,4,4,4,0,-26.142869,-48.995956,52,307,SC-7751-R-26,2021,SC,SDE-SC,Rio Cubatão,1
-50.362068,-26.1115739992537,4,1.75,1.5,2,0.288675,-26.111574,-50.362068,53,309,65180000,2021,PR,Águas Paraná,Rio Canoinhas,1
-50.333889,-26.0913889992541,4,2.05,1.5,3,0.665833,-26.091389,-50.333889,54,311,65175000,2021,PR,Águas Paraná,Rio Negro,1
-53.073889,-26.0816669992543,4,11.8,1.5,42,20.134382,-26.081667,-53.073889,55,312,65950200,2021,PR,Águas Paraná,Rio Marrecas,1
-52.800833,-26.0502779992549,4,2.875,1.9,5,1.45,-26.050278,-52.800833,56,313,65945000,2021,PR,Águas Paraná,Rio Vitorino,1
-51.142222,-26.0319439992553,4,1.775,1.5,2,0.262996,-26.031944,-51.142222,57,314,65415000,2021,PR,Águas Paraná,Rio Palmital,1
-50.5925,-26.0191669992555,4,3.075,2,4,0.830161,-26.019167,-50.5925,58,316,65220000,2021,PR,Águas Paraná,Rio Iguaçu,1
-51.633916,-26.0019109992559,4,1.75,1.5,2,0.288675,-26.001911,-51.633916,59,317,65774300,2021,PR,IAT,Rio Iguaçu,1
-49.791389,-25.9455559992571,4,1.75,1.5,2,0.288675,-25.945556,-49.791389,60,318,65155000,2021,PR,Águas Paraná,Rio da Várzea,1
-49.393056,-25.9344439992573,4,2.075,1.5,2.8,0.537742,-25.934444,-49.393056,61,319,65135000,2021,PR,Águas Paraná,Rio da Várzea,1
-48.852222,-25.9330559992573,4,1.75,1.5,2,0.288675,-25.933056,-48.852222,62,320,82249000,2021,PR,Águas Paraná,Informação não disponível,1
-52.849444,-25.9149999992577,4,2.1,1.5,2.9,0.583095,-25.915,-52.849444,63,321,65955000,2021,PR,Águas Paraná,Rio Santana,1
-50.525683,-25.9110329992577,4,1.8,1.5,2,0.244949,-25.911033,-50.525683,64,322,65208000,2021,PR,ANA,Rio Potinga,1
-50.389444,-25.8755559992585,4,5.225,0,8.2,3.602198,-25.875556,-50.389444,65,323,65060000,2021,PR,Águas Paraná,Rio Iguaçu,1
-49.5128,-25.8641999992587,4,3.15,1.7,6.9,2.503997,-25.8642,-49.5128,66,324,65136550,2021,PR,Águas Paraná,Rio da Varzea,1
-52.546111,-25.8558329992589,4,2.075,1.5,3,0.65,-25.855833,-52.546111,67,325,65874990,2021,PR,Águas Paraná,Rio do Meio,1
-48.8,-25.8166999992597,4,1.775,1.5,2,0.262996,-25.8167,-48.8,68,327,82234000,2021,PR,Águas Paraná,RIO CUBATÃO,1
-52.673333,-25.8138889992598,4,2,1.5,3,0.707107,-25.813889,-52.673333,69,328,65883070,2021,PR,Águas Paraná,Rio Capivara,1
-53.5156,-25.7693999992607,4,1.875,1.5,2,0.25,-25.7694,-53.5156,70,332,65974500,2021,PR,Águas Paraná,Rio Sarandi,1
-52.926667,-25.7691669992606,4,1.75,1.5,2,0.288675,-25.769167,-52.926667,71,333,65960000,2021,PR,Águas Paraná,Rio Chopim,1
-53.840278,-25.7461109992611,4,1.775,1.5,2,0.262996,-25.746111,-53.840278,72,336,65990550,2021,PR,Águas Paraná,Rio Santo Antonio,1
-49.317361,-25.7206669992616,4,2.05,1.6,2.6,0.412311,-25.720667,-49.317361,73,338,65019400,2021,PR,Águas Paraná,Rio Mauricio,1
-53.7486,-25.6830999992624,4,1.825,1.5,2,0.236291,-25.6831,-53.7486,74,341,65985220,2021,PR,Águas Paraná,Rio Siemens,1
